ronda,orden,caso,operacion,localidad,gateway_region,regiones_hogar,inicio_utc,latencia_ms,reintentos
14,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.870+00:00,2.621,0
14,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.872+00:00,0.193,0
14,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.873+00:00,2.612,0
14,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.875+00:00,0.248,0
15,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.876+00:00,0.213,0
15,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.876+00:00,2.516,0
15,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.878+00:00,2.456,0
15,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.881+00:00,0.178,0
16,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.881+00:00,3.060,0
16,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.884+00:00,0.256,0
16,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.884+00:00,2.816,0
16,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.887+00:00,0.256,0
17,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.888+00:00,0.240,0
17,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.888+00:00,4.198,0
17,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.892+00:00,3.536,0
17,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.896+00:00,0.285,0
18,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.896+00:00,3.586,0
18,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.900+00:00,3.909,0
18,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.904+00:00,0.226,0
18,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.904+00:00,0.177,0
19,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.904+00:00,2.387,0
19,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.906+00:00,0.181,0
19,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.907+00:00,2.221,0
19,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.909+00:00,0.199,0
20,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.909+00:00,2.253,0
20,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.911+00:00,2.276,0
20,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.914+00:00,0.189,0
20,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.914+00:00,0.185,0
21,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.914+00:00,0.155,0
21,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.914+00:00,0.150,0
21,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.914+00:00,2.339,0
21,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.917+00:00,2.213,0
22,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.919+00:00,0.177,0
22,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.919+00:00,0.161,0
22,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.919+00:00,2.215,0
22,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.922+00:00,2.280,0
23,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.924+00:00,0.185,0
23,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.924+00:00,2.309,0
23,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.927+00:00,2.314,0
23,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.929+00:00,0.241,0
24,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.929+00:00,0.177,0
24,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.929+00:00,0.162,0
24,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.930+00:00,2.481,0
24,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.932+00:00,2.467,0
25,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.935+00:00,2.467,0
25,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.937+00:00,0.221,0
25,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.937+00:00,0.208,0
25,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.938+00:00,2.477,0
26,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.940+00:00,2.533,0
26,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.943+00:00,0.216,0
26,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.943+00:00,0.212,0
26,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.943+00:00,2.516,0
27,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.946+00:00,0.209,0
27,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.946+00:00,2.341,0
27,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.948+00:00,0.218,0
27,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.948+00:00,2.522,0
28,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.951+00:00,0.218,0
28,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.951+00:00,2.480,0
28,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.954+00:00,0.176,0
28,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.954+00:00,2.509,0
29,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.957+00:00,2.515,0
29,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.959+00:00,0.224,0
29,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.959+00:00,2.398,0
29,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.962+00:00,0.174,0
30,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.962+00:00,2.485,0
30,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.964+00:00,2.525,0
30,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.967+00:00,0.223,0
30,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.967+00:00,0.207,0
31,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.967+00:00,0.203,0
31,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.968+00:00,2.440,0
31,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.970+00:00,2.448,0
31,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.973+00:00,0.168,0
32,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.973+00:00,0.180,0
32,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.973+00:00,2.331,0
32,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.975+00:00,2.300,0
32,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.978+00:00,0.187,0
33,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.978+00:00,0.181,0
33,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.978+00:00,2.187,0
33,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.980+00:00,0.180,0
33,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.981+00:00,2.262,0
34,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.983+00:00,0.201,0
34,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.983+00:00,2.274,0
34,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.985+00:00,2.325,0
34,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.988+00:00,0.193,0
35,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.988+00:00,0.182,0
35,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.988+00:00,2.186,0
35,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.990+00:00,2.192,0
35,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.993+00:00,0.176,0
36,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.993+00:00,2.231,0
36,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.995+00:00,0.187,0
36,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.995+00:00,2.310,0
36,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.998+00:00,0.258,0
37,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.998+00:00,3.244,0
37,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.001+00:00,2.520,0
37,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.004+00:00,0.201,0
37,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.004+00:00,0.180,0
38,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.004+00:00,0.162,0
38,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.004+00:00,0.195,0
38,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.005+00:00,2.373,0
38,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.007+00:00,2.540,0
39,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.010+00:00,0.214,0
39,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.010+00:00,0.150,0
39,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.010+00:00,2.466,0
39,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.012+00:00,2.499,0
40,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.015+00:00,2.544,0
40,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.018+00:00,0.216,0
40,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.018+00:00,0.158,0
40,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.018+00:00,2.602,0
41,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.021+00:00,0.222,0
41,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.021+00:00,0.215,0
41,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.021+00:00,2.505,0
41,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.024+00:00,2.372,0
42,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.026+00:00,2.279,0
42,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.028+00:00,0.188,0
42,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.029+00:00,2.242,0
42,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.031+00:00,0.200,0
43,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.031+00:00,0.178,0
43,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.031+00:00,2.200,0
43,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.033+00:00,2.280,0
43,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.036+00:00,0.201,0
44,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.036+00:00,2.299,0
44,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.038+00:00,2.165,0
44,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.041+00:00,0.174,0
44,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.041+00:00,0.168,0
45,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.041+00:00,0.169,0
45,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.041+00:00,2.191,0
45,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.043+00:00,2.182,0
45,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.046+00:00,0.175,0
46,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.046+00:00,0.165,0
46,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.046+00:00,0.168,0
46,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.046+00:00,2.228,0
46,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.048+00:00,2.555,0
47,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.051+00:00,0.218,0
47,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.051+00:00,2.496,0
47,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.054+00:00,0.173,0
47,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.054+00:00,2.445,0
48,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.056+00:00,2.592,0
48,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.059+00:00,2.559,0
48,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.062+00:00,0.219,0
48,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.062+00:00,0.213,0
49,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.062+00:00,2.734,0
49,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.065+00:00,2.758,0
49,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.068+00:00,0.213,0
49,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.068+00:00,0.199,0
50,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.068+00:00,0.201,0
50,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.068+00:00,0.200,0
50,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.069+00:00,2.483,0
50,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.071+00:00,3.459,0
51,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.075+00:00,0.251,0
51,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.075+00:00,3.228,0
51,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.078+00:00,3.749,0
51,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.082+00:00,0.293,0
52,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.082+00:00,3.105,0
52,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.085+00:00,0.249,0
52,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.086+00:00,2.482,0
52,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.088+00:00,0.230,0
53,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.089+00:00,2.390,0
53,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.091+00:00,0.226,0
53,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.091+00:00,0.216,0
53,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.091+00:00,2.425,0
54,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.094+00:00,2.498,0
54,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.097+00:00,2.449,0
54,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.099+00:00,0.262,0
54,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.099+00:00,0.228,0
55,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.100+00:00,0.229,0
55,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.100+00:00,3.062,0
55,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.103+00:00,0.325,0
55,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.103+00:00,2.527,0
56,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.106+00:00,2.788,0
56,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.109+00:00,0.290,0
56,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.109+00:00,0.223,0
56,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.109+00:00,2.386,0
57,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.112+00:00,0.238,0
57,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.112+00:00,0.219,0
57,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.112+00:00,2.407,0
57,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.115+00:00,2.398,0
58,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.117+00:00,2.474,0
58,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.120+00:00,0.274,0
58,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.120+00:00,2.662,0
58,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.123+00:00,0.231,0
59,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.123+00:00,0.210,0
59,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.123+00:00,2.686,0
59,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.126+00:00,2.544,0
59,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.128+00:00,0.217,0
60,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.129+00:00,0.203,0
60,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.129+00:00,2.469,0
60,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.131+00:00,2.442,0
60,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.134+00:00,0.179,0
61,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.134+00:00,0.200,0
61,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.134+00:00,2.477,0
61,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.137+00:00,2.519,0
61,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.139+00:00,0.309,0
62,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:11.140+00:00,0.210,0
62,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:11.140+00:00,2.472,0
62,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:11.142+00:00,2.535,0
62,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:11.145+00:00,0.232,0
