ronda,orden,caso,operacion,localidad,gateway_region,regiones_hogar,inicio_utc,latencia_ms,reintentos
15,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.826+00:00,17.035,0
16,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.843+00:00,13.344,0
16,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.856+00:00,11.028,0
16,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.867+00:00,13.850,0
16,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.881+00:00,3.506,0
17,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.885+00:00,0.473,0
17,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.885+00:00,21.463,0
17,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.907+00:00,18.900,0
17,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.926+00:00,15.863,0
18,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.942+00:00,14.091,0
18,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.956+00:00,27.633,0
18,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.983+00:00,4.213,0
18,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.988+00:00,1.080,0
19,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.989+00:00,12.646,0
19,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.001+00:00,0.765,0
19,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.002+00:00,16.962,0
19,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.019+00:00,1.021,0
20,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.020+00:00,15.247,0
20,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.035+00:00,25.038,0
20,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.060+00:00,4.634,0
20,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.065+00:00,1.174,0
21,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.066+00:00,0.469,0
21,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.067+00:00,0.821,0
21,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.068+00:00,10.693,0
21,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.078+00:00,15.880,0
22,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.094+00:00,0.525,0
22,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.095+00:00,14.578,0
22,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.109+00:00,13.301,0
22,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.123+00:00,25.092,0
23,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.148+00:00,4.117,0
23,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.152+00:00,14.591,0
23,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.167+00:00,13.276,0
23,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.180+00:00,1.444,0
24,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.181+00:00,3.466,0
24,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.185+00:00,0.750,0
24,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.186+00:00,13.277,0
24,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.199+00:00,26.508,0
25,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.226+00:00,18.091,0
25,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.244+00:00,15.909,0
25,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.260+00:00,0.582,0
25,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.260+00:00,12.209,0
26,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.272+00:00,15.266,0
26,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.288+00:00,0.975,0
26,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.289+00:00,2.812,0
26,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.292+00:00,13.740,0
27,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.305+00:00,0.473,0
27,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.306+00:00,23.181,0
27,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.329+00:00,0.965,0
27,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.330+00:00,15.071,0
28,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.345+00:00,17.252,0
28,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.362+00:00,16.014,0
28,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.378+00:00,0.839,0
28,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.379+00:00,25.425,0
29,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.405+00:00,16.003,0
29,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.421+00:00,0.613,0
29,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.421+00:00,13.986,0
29,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.435+00:00,2.626,0
30,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.438+00:00,23.342,0
30,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.461+00:00,17.720,0
30,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.479+00:00,0.640,0
30,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.480+00:00,4.717,0
31,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.485+00:00,0.484,0
31,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.485+00:00,17.763,0
31,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.503+00:00,17.680,0
31,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.521+00:00,14.364,0
32,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.535+00:00,0.927,0
32,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.536+00:00,12.764,0
32,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.549+00:00,17.416,0
32,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.566+00:00,0.738,0
33,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.567+00:00,4.914,0
33,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.572+00:00,23.585,0
33,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.596+00:00,0.596,0
33,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.596+00:00,14.238,0
34,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.610+00:00,1.520,0
34,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.612+00:00,16.654,0
34,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.629+00:00,14.943,0
34,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.644+00:00,1.076,0
35,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.645+00:00,4.547,0
35,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.649+00:00,20.658,0
35,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.670+00:00,17.196,0
35,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.687+00:00,5.416,0
36,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.693+00:00,14.127,0
36,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.707+00:00,5.768,0
36,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.713+00:00,24.739,0
36,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.737+00:00,3.798,0
37,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.741+00:00,13.550,0
37,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.755+00:00,14.203,0
37,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.769+00:00,4.824,0
37,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.774+00:00,0.918,0
38,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.775+00:00,0.483,0
38,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.775+00:00,0.755,0
38,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.776+00:00,13.139,0
38,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.789+00:00,24.392,0
39,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.814+00:00,1.066,0
39,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.815+00:00,3.609,0
39,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.818+00:00,13.734,0
39,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.832+00:00,13.734,0
40,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.846+00:00,18.121,0
40,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.864+00:00,0.746,0
40,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.865+00:00,4.951,0
40,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.870+00:00,20.714,0
41,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.891+00:00,4.952,0
41,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.896+00:00,0.945,0
41,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.897+00:00,12.655,0
41,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.909+00:00,13.952,0
42,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.923+00:00,18.547,0
42,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.942+00:00,0.986,0
42,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.943+00:00,15.281,0
42,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:42.958+00:00,0.689,0
43,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:42.959+00:00,4.730,0
43,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:42.964+00:00,24.892,0
43,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:42.988+00:00,15.333,0
43,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.004+00:00,5.115,0
44,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.009+00:00,13.609,0
44,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.023+00:00,26.915,0
44,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.050+00:00,3.491,0
44,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.053+00:00,0.904,0
45,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.054+00:00,0.745,0
45,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.055+00:00,11.786,0
45,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.067+00:00,16.467,0
45,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.083+00:00,6.419,0
46,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.090+00:00,1.287,0
46,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.091+00:00,0.524,0
46,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.091+00:00,17.744,0
46,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.109+00:00,29.948,0
47,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.139+00:00,1.598,0
47,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.141+00:00,17.891,0
47,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.159+00:00,5.943,0
47,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.165+00:00,43.259,0
48,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.208+00:00,37.296,0
48,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.246+00:00,31.236,0
48,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.277+00:00,4.570,0
48,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.281+00:00,0.968,0
49,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.282+00:00,11.197,0
49,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.294+00:00,15.073,0
49,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.309+00:00,17.342,0
49,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.326+00:00,0.487,0
50,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.327+00:00,0.550,0
50,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.327+00:00,1.251,0
50,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.328+00:00,11.356,0
50,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.340+00:00,12.450,0
51,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.352+00:00,0.509,0
51,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.353+00:00,23.860,0
51,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.377+00:00,14.406,0
51,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.391+00:00,15.772,0
52,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.407+00:00,13.150,0
52,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.420+00:00,4.716,0
52,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.425+00:00,20.464,0
52,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.445+00:00,4.042,0
53,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.449+00:00,11.146,0
53,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.461+00:00,0.886,0
53,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.461+00:00,3.890,0
53,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.465+00:00,12.551,0
54,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.478+00:00,28.206,0
54,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.506+00:00,25.811,0
54,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.532+00:00,0.991,0
54,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.533+00:00,3.634,0
55,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.537+00:00,0.806,0
55,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.537+00:00,11.005,0
55,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.548+00:00,4.538,0
55,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.553+00:00,11.191,0
56,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.564+00:00,26.997,0
56,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.591+00:00,0.579,0
56,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.592+00:00,4.074,0
56,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.596+00:00,20.929,0
57,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.617+00:00,4.650,0
57,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.622+00:00,0.824,0
57,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.622+00:00,10.955,0
57,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.633+00:00,15.201,0
58,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.649+00:00,15.090,0
58,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.664+00:00,4.138,0
58,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.668+00:00,9.904,0
58,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.678+00:00,5.899,0
59,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.684+00:00,0.788,0
59,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.685+00:00,23.245,0
59,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.708+00:00,15.858,0
59,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.724+00:00,5.323,0
60,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.729+00:00,1.004,0
60,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.730+00:00,11.823,0
60,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.742+00:00,14.165,0
60,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.756+00:00,0.553,0
61,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.757+00:00,4.508,0
61,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.761+00:00,22.791,0
61,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.784+00:00,15.319,0
61,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.799+00:00,0.472,0
62,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.800+00:00,0.456,0
62,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.800+00:00,25.464,0
62,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.826+00:00,28.986,0
62,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.855+00:00,0.965,0
